German	English	Frequency
der Stolz	the pride	5347	
der Schlag	the shock	5325	
leider	unfortunately	5325	
der Nächste	the next	5323	
werd	expectant	5318	
gefährlich	dangerous	5309	
die Wohnung	the apartment	5303	
vorsichtig	careful	5290	
zahlen	to pay	5286	
Naja	well	5284	
der Anruf	the call	5278	
die Habe	the possessions	5273	
wunderbar	wonderful	5256	
sorgen	to take care	5255	
geschafft	managed	5242	
die Acht	the eight	5237	
das Tief	the deep	5235	
offen	open minded	5216	
der Laut	the loud	5211	
jemals	ever	5210	
das Pferd	the horse	5201	
der Mist	the manure	5200	
kosten	to cost	5196	
wem	whom	5194	
solange	as long as	5182	
die Leiche	the corpse	5177	
das Opfer	the victim	5176	
das Rot	the red	5172	
verletzt	upset	5168	
L	l	5168	
York	york	5163	
Wow	wow	5153	
das Flugzeug	the aircraft	5135	
besonders	particularly	5122	
gesprochen	spoken	5120	
heraus	out	5114	
die Information	the information	5113	
tanzen	to dance	5095	
die Sicherheit	the security	5092	
Arschloch	asshole	5073	
das Ziel	the target	5050	
Idiot	idiot	5048	
Tja	well	5046	
wenigstens	at least	5045	
der Zug	the train	5018	
die Bewegung	the movement	5006	
ln	in	5000	
bewegen	to move	4999	
treten	to enter	4990	
hinten	behind	4988	
damals	at the time	4986	
die Antwort	the reply	4985	
erkennen	to recognize	4982	
der Feind	the enemy	4981	
schliessen	to shut down	4975	
der Soldat	the soldier	4967	
absolut	absolutely	4954	
das Geheimnis	the secret	4950	
das Hotel	the hotel	4940	
süß	sweet	4931	
c	c	4931	
Denk	thinking	4922	
die Meinung	the opinion	4921	
gleichen	to equal	4915	
steigen	to rise	4908	
seltsam	strange	4903	
Harry	harry	4876	
gestorben	died	4856	
fehlen	to lack	4855	
Mike	mike	4853	
der Tisch	the table	4847	
Zeig	show	4846	
interessant	interesting	4839	
das Super	the kick ass	4837	
umgebracht	killed	4826	
Tom	tom	4826	
David	david	4826	
Setz	act	4824	
eher	more	4824	
nen	nen	4818	
erwartet	expected	4784	
unmöglich	impossible	4778	
die Tat	the deed	4774	
fürchten	to fear	4766	
hassen	to hate	4758	
brechen	to break	4752	
übernehmen	to take	4742	
stören	to disturb	4741	
die Möglichkeit	the possibility	4734	
außerdem	in addition	4723	
die Tasche	the pocket	4722	
das Fenster	the window	4720	
die Lage	the location	4701	
der Anfang	the beginning	4697	
länger	longer	4689	
das Tier	the animal	4687	
wen	who	4662	
Daddy	daddy	4656	
das Reich	the rich	4654	
still	still	4644	
plötzlich	suddenly	4643	
der Schaden	the harm	4638	
die Seele	the soul	4632	
bekannt	known	4622	
vorher	previously	4611	
fort	away	4600	
schnellen	to fast	4595	
der Anwalt	the lawyer	4587	
der Mai	the in may	4570	
die Firma	the company	4558	
and	and	4549	
der Patient	the patient	4534	
Zieh	drawing	4531	
der Finger	the finger	4511	
lhren	lhren	4497	
das Geschenk	the gift	4496	
B	b	4493	
der Schluß	the closing	4489	
sieben	to seven	4487	
wetten	to bet	4477	
das Schwein	the pig	4474	
das Bier	the beer	4470	
rüber	over	4460	
bestehen	to exist	4448	
der Mörder	the murderer	4446	
wunderschön	beautiful	4437	
aufs	on	4434	
der Ärger	the anger	4433	
die Stimme	the voice	4420	
verraten	to reveal	4413	
die Beziehung	the relationship	4404	
solche	such	4403	
das Gesetz	the law	4401	
das Volk	the people	4387	
solch	such	4386	
Joe	joe	4384	
der Polizist	the policeman	4381	
der Brief	the letter	4381	
die Regierung	the government	4380	
das Dunkel	the dark	4380	
verstecken	to hide	4374	
geschickt	cleverly	4371	
Board	board	4368	
die Bombe	the bomb	4359	
benutzt	used	4356	
Augenblick	moment	4351	
die Insel	the island	4345	
der Lauf	the run	4344	
herum	around	4341	
erhalten	to obtain	4339	
die Stelle	the location	4325	
Klappe	flap	4317	
Alex	alex	4313	
blöd	stupid	4311	
der Schlaf	the sleep	4299	
die Nähe	the proximity	4289	
riechen	to smell	4285	
sauber	clean	4270	
der Rum	the rum	4268	
nötig	necessary	4268	
entscheiden	to decide	4261	
die Szene	the scene	4260	
Peter	peter	4260	
bezahlt	paid	4260	
tatsächlich	indeed	4255	
schwören	to swear	4249	
regeln	to regulate	4248	
melden	to report	4246	
verdienen	to earn	4240	
zweit	second	4235	
obwohl	even though	4231	
der Planet	the planet	4215	
der Partner	the partner	4210	
Ben	ben	4204	
jedes	each	4199	
deutsch	german	4199	
aIs	ais	4188	
das System	the system	4182	
die Richtung	the direction	4182	
erledigen	to handle	4175	
der Rücken	the move	4172	
die Verbindung	the connection	4170	
das Rennen	the race	4162	
erreichen	to reach	4162	
das Ei	the egg	4158	
die Bar	the bar	4153	
der Computer	the computer	4152	
die Armee	the army	4144	
schick	chic	4138	
traurig	sad	4136	
Bill	bill	4128	
die Rolle	the role	4122	
fahr	driving	4114	
U	u	4109	
beruhigen	to settle down	4108	
der Preis	the price	4089	
der Schritt	the step	4087	
merken	to notice	4081	
besorgen	to get	4075	
gerettet	saved	4068	
weinen	to cry	4067	
der Wunsch	the request	4059	
verdient	deserves	4058	
die Weise	the wise	4045	
die Spur	the track	4039	
to	to	4033	
dagegen	on the other hand	4007	
der Bulle	the bull	3997	
aufhalten	to stop	3997	
die Gefahr	the risk	3982	
die Kamera	the camera	3979	
der Unfall	the accident	3978	
Johnny	johnny	3976	
derjenige	the one	3963	
sowas	something	3960	
enden	to end up	3954	
das Wunder	the miracle	3945	
atmen	to breathe	3945	
Amerika	america	3944	
müde	tired	3942	
falls	in case	3941	
bauen	to build	3939	
die Show	the show	3928	
ewig	forever	3928	
Erzähl	tell	3921	
Vince	vince	3911	
unterwegs	on the road	3911	
selber	itself	3908	
gelernt	learned	3903	
die Ehe	the marriage	3903	
die Kontrolle	the control	3901	
voller	full of	3900	
ständig	constantly	3897	
bedeuten	to mean	3896	
erschießen	to shoot dead	3887	
der Test	the test	3877	
geschrieben	written	3877	
wach	awake	3874	
steh	stand	3859	
wofür	for what	3853	
der Bericht	the report	3843	
die Maschine	the machine	3842	
beschützen	to protect	3842	
James	james	3833	
der Bob	the bob	3828	
bieten	to offer	3819	
gebären	to bear	3816	
der Kontakt	the contact	3811	
zurückkommen	to come back	3805	
das Beispiel	the example	3805	
die Verzeihung	the forgiveness	3799	
verheiratet	married	3798	
zuhause	home	3797	
teilen	to share	3796	
geliebt	beloved	3796	
menschlich	human	3794	
die Droge	the drug	3787	
Tony	tony	3786	
die Hoffnung	the hope	3781	
zerstören	to destroy	3769	
beweisen	to prove	3765	
links	on the left	3764	
die Dame	the lady	3753	
wozu	what for	3749	
der Wein	the wine	3745	
das Herzen	the heart	3742	
der Meister	the master	3741	
das Ohr	the ear	3738	
bestimmen	to determine	3736	
die Sonne	the sun	3735	
der Deutsche	the german	3731	
derselbe	the same	3727	
gewonnen	won	3724	
springen	to jump	3720	
sowieso	anyway	3699	
der Chef	the chief	3699	
gefangen	captured	3698	
lhrer	lhrer	3697	
schützen	to protect	3691	
der Staat	the state	3685	
der Schuss	the shot	3677	
das Gebäude	the building	3655	
gestohlen	stolen	3652	
dahin	then	3652	
die Lady	the lady	3645	
schlimmer	worse	3641	
spüren	to feel	3639	
die Nase	the nose	3632	
der Rat	the advice	3626	
die Liste	the list	3624	
der Frieden	the peace	3621	
gelesen	read	3618	
Will	will	3615	
die Weile	the while	3615	
leiden	to suffer	3607	
darin	therein	3607	
Gibts	there	3603	
Paul	paul	3601	
gemeinsam	together	3600	
die Erinnerung	the memory	3597	
Paris	paris	3583	
Leg	leg	3583	
der Geburtstag	the birthday	3582	
gib	give	3581	
jedenfalls	in any case	3580	
of	of	3579	
FBI	fbi	3577	
Damen	women's	3577	
der Stein	the stone	3565	
die Suche	the search	3561	
neben	next	3551	
überleben	to survive	3549	
der Fisch	the fish	3546	
Muss	must	3544	
fürs	for	3541	
tollen	to great	3530	
die Vorsicht	the caution	3526	
gearbeitet	worked	3524	
der Bescheid	the decision	3521	
der Fang	the fishing	3518	
näher	closer	3514	
gehabt	had	3513	
der Baum	the tree	3513	
die Folge	the result	3510	
bereiten	to prepare	3509	
Sheriff	sheriff	3501	
weitere	more	3492	
der Ring	the ring	3492	
schwierig	difficult	3491	
das Gehirn	the brain	3488	
Stell	parking	3487	
kaputt	broken	3487	
irgendetwas	something	3485	
das Heim	the home	3485	
Colonel	colonel	3478	
Jesus	jesus	3477	
der Vogel	the bird	3475	
Ha	ha	3473	
bisher	so far	3465	
das Band	the band	3463	
das Loch	the hole	3461	
verzeihen	to forgive	3459	
treiben	to drive	3458	
die Bank	the bank	3454	
handeln	to act	3448	
wirken	to act	3440	
die Situation	the situation	3439	
der Drink	the drink	3427	
das Schicksal	the fate	3424	
Robin	robin	3424	
ans	to the	3418	
die Gruppe	the group	3408	
mitnehmen	to take	3405	
gekauft	bought	3402	
der Stern	the star	3398	
schulden	to owe	3398	
subcentral	subcentral	3396	
das Fernsehen	the watching tv	3395	
vergeben	to award	3386	
der Bord	the shelf	3385	
sauer	sour	3384	
La	la	3383	
die Position	the position	3382	
Max	max	3382	
zumindest	at least	3377	
schneller	faster	3377	
offensichtlich	obviously	3376	
vermissen	to miss	3371	
das Gericht	the court	3368	
die Zeitung	the newspaper	3367	
übrig	left	3358	
die Kugel	the ball	3358	
wütend	angry	3350	
die Reise	the travel	3346	
gewiss	certainly	3346	
euer	your	3343	
die Hochzeit	the wedding	3338	
entfernt	off	3338	
das Übel	the ill	3332	
Jimmy	jimmy	3322	
der Blick	the view	3318	
der Gast	the guest	3310	
erwischt	caught	3310	
das Entweder	the either	3307	
nah	close	3306	
das Zeichen	the sign	3301	
Tschüss	bye bye	3301	
weder	neither	3298	
stehlen	to steal	3298	
seh	seh	3292	
das Tor	the gate	3281	
der Nutzen	the use	3280	
besuchen	to visit	3265	
geredet	spoken	3260	
zerstört	destroyed	3255	
die Gesellschaft	the society	3255	
die Sprache	the language	3254	
aIIes	aiies	3248	
der Ball	the ball	3237	
die Majestät	the majesty	3230	
der Professor	the professor	3227	
schuldig	guilty	3220	
nachdenken	to think	3206	
furchtbar	terribly	3206	
die Überraschung	the surprise	3201	
aufpassen	to watch	3198	
amerikanisch	american	3192	
hau	hau	3191	
der Besuch	the visit	3189	
die Aufgabe	the task	3181	
versprochen	promised	3180	
verkauft	sold	3178	
hinterlassen	to leave	3168	
verbringen	to spend	3166	
unbedingt	necessarily	3165	
reisen	to travel	3161	
die Freiheit	the freedom	3157	
das Mark	the marrow	3156	
Ari	ari	3156	
das Gold	the gold	3153	
erledigt	done	3152	
Herrn	mr.	3150	
irgendwann	sometime	3146	
die Vergangenheit	the past	3143	
Daniel	daniel	3143	
der Meter	the meter	3141	
gegenüber	opposite	3140	
jagen	to hunt	3137	
das Glas	the glass	3130	
die Wand	the wall	3129	
gesucht	wanted	3126	
verändert	changed	3125	
verantwortlich	responsible	3123	
der Don	the don	3120	
drinnen	inside	3115	
funktionieren	to function	3113	
das Pro	the per	3112	
diesmal	this time	3104	
witzig	funny	3090	
ungefähr	about	3090	
der Hut	the hat	3090	
